Remove 4|"Complete a function that takes every element in a list that is not the integer 4 and returns them in a new list.+-=Example:+-=>>> remove_4([4, 5, 3, 7, ""hi"", ""why"", 4, 4, 9, 7, 14, 3, 4, 5, 3])+-=[5, 3, 7, ""hi"", ""why"", 9, 7, 14, 3, 5, 3]"|def remove_4(list):|test_remove_4
LASER SHARKS|"LASER SHARKS ARE ATTACKING! WRITE A FUNCTIONS THAT STOPS THE LASER SHARKS BY PLACING ""CANNON WHALE"" (all caps) IN AN OUTPUT STRING FOR EACH TIME ""LASER SHARK"" (all caps) IS WRITTEN IN AN INPUT STRING!+-=>>> STOP_THE_LASER_SHARKS(""Hi, how are LASER SHARK you doing? It's a rather LASER SHARK nice day isn't it? Don't worry about LASER SHARKS laser sharks, there are no laser sharks in LASER SHARK Ba Sing Se."")+-=""CANNON WHALECANNON WHALECANNON WHALECANNON WHALE"""|def STOP_THE_LASER_SHARKS(SHARKS):|test_laser_shark
Sum of 9|Write a function that returns the sum of all the numbers with the digit 9. If input has no numbers with the digit 9 or is an empty list, return 0.|def nine(num_list):|test_nine
Prime (not the drink)|Write a function that returns True if the input is prime, False otherwise.|def prime(num):|test_prime
Remove Character|"How would you remove a specific character from a string?+-=>>> remove_chara(""Whoa! Whoa!! Whoa!!!"", ""h"")+-=""Woa! Woa!! Woa!!!"""|def remove_chara(s, ch):|test_remove_chara
Orthogonal|Write a function that returns True if the two vectors (lists) of the same size that are input are orthogonal to each other. This means that when you multiply the elements of one list with the corresponding elements of the other list, the sum of the resulting values is zero.|def orthogonal(vec_1, vec_2):|test_orthogonal
Alphabetical|Write a function that returns True if the string input has letters in alphabetical order, and False otherwise. (Hint: Convert the string to lowercase first)|def alphabetical(string_input):|test_alphabetical
LASER SHARKS: ELECTRIC BOOGALOO|"Write a function that RAGES AND RAGES AND RAGES THE LASER SHARKS ARE BACK AND THEY ARE MAD!!!! WRITE A FUNCTION THAT YIELDS ""MISSILE DOLPHIN"" (all caps) EVERYTIME ""LASER SHARK"" (all caps) IS IN THE INPUT STRING, EXCEPT MISSILE DOLPHIN SHOULD BE IN A LIST WITH ONE MISSILE DOLPHIN PER LASER SHARK!!!!"|def DEFEAT_THE_LASER_SHARKS(SHARKS):|test_DEFEAT_THE_LASER_SHARKS
Sum Evens|Sum all of the even numbers in a given array.+-=>>> sum_evens([1, 2, 3, 4])+-=6|def sum_evens(lst):|test_sum_evens
Sum Odds|Sum all of the odd numbers in a given array.+-=>>> sum_odds([1, 3, 5, 7])+-=16|def sum_odds(lst):|test_sum_odds
A of B|Find the a % of B (assume outputs are all whole numbers)+-=>>> a_of_b(5, 10)+-= 0.5|def a_of_b(a, b):|test_a_of_b
Mean|Find the mean of an array of numbers. The mean is the sum of the array divided by the length of the array.+-=>>> mean([1, 3, 5, 7])+-=4|def mean(lst):|test_mean
Triangle |Return true if the array satisfies the triangle inequality, the triangle inequality states that the sum of any 2 sides is greater than or equal to the 3rd side.+-=>>> triangle([1, 2, 4])+-=False|def triangle(lst):|test_triangle
Remainder|Return the remainder of a divided by b+-=>>> remainder(6, 5)+-= 1|def remainder(a, b):|test_remainder
Pythagorean|Return true if the array is a pythagorean triple. A pythagorean triple is a set of numbers in which a^2 + b^2 = c^2. Note, the array is not sorted.+-=>>> pythagorean([5, 3, 4])+-= True|def pythagorean(lst):|test_pythagorean
Area|Return the area of a rectangle with length a and width b:+-=>>> area(3, 5)+-= 15|def area(a, b):|test_area
Candy|Fredrick has a candies and b friends, how many candies should each friend get so each has the same amount of candies?+-=>>> candy(12, 5)+-= 2|def candy(a, b):|test_candy
Median|What is the median of the given unsorted array? Assume the arrays have an odd number of elements.+-=>>> lst([1, 5, 7, 9, 3])+-= 5|def median(lst):|test_median
Add Sum Multiply Max|Of 3 integer arguments, return the max multiplied by the sum of the other two.+-=Example:+-=>>> add_sub_mul_max(1, 2, 7)+-= 21|def add_sub_mul_max(one, two, three):|test_add_sub_mul_max
Double Eights|Write a function that takes in a number and determines if the digits contain two adjacent 8s.+-=>>> double_eights(882)+-= True|double_eights(term):|test_double_eights

